     Ep        Loss          LR     Time
  ---------------------------------------------
    107      0.0172    7.64e-04     3.4s
    108      0.0166    7.59e-04     3.4s
    109      0.0166    7.55e-04     3.4s
    110      0.0170    7.50e-04     3.4s
    111      0.0172    7.45e-04     3.4s
    112      0.0174    7.40e-04     3.5s
    113      0.0182    7.36e-04     3.4s
    114      0.0174    7.31e-04     3.4s
    115      0.0168    7.26e-04     3.4s
    116      0.0168    7.21e-04     3.4s
    117      0.0168    7.16e-04     3.4s
    118      0.0169    7.11e-04     3.5s
    119      0.0165    7.06e-04     3.4s
    120      0.0172    7.01e-04     3.4s
    121      0.0169    6.96e-04     3.4s
    122      0.0171    6.91e-04     3.4s
    123      0.0167    6.86e-04     3.4s
    124      0.0165    6.80e-04     3.4s
    125      0.0165    6.75e-04     3.4s
    126      0.0168    6.70e-04     3.4s
    127      0.0166    6.65e-04     3.4s
    128      0.0170    6.60e-04     3.4s
    129      0.0176    6.55e-04     3.4s
    130      0.0165    6.49e-04     3.4s
    131      0.0166    6.44e-04     3.4s
    132      0.0163    6.39e-04     3.4s
    133      0.0163    6.33e-04     3.4s
    134      0.0163    6.28e-04     3.4s
    135      0.0160    6.23e-04     3.4s
    136      0.0167    6.17e-04     3.4s
    137      0.0161    6.12e-04     3.4s
    138      0.0167    6.07e-04     3.4s
    139      0.0176    6.01e-04     3.4s
    140      0.0173    5.96e-04     3.4s
    141      0.0175    5.90e-04     3.4s
    142      0.0162    5.85e-04     3.4s
    143      0.0161    5.80e-04     3.4s
    144      0.0162    5.74e-04     3.4s
    145      0.0159    5.69e-04     3.4s
    146      0.0166    5.63e-04     3.4s
    147      0.0162    5.58e-04     3.4s
    148      0.0157    5.52e-04     3.4s
    149      0.0164    5.47e-04     3.4s
    150      0.0163    5.41e-04     3.4s
    151      0.0171    5.36e-04     3.4s
    152      0.0170    5.30e-04     3.4s
    153      0.0170    5.25e-04     3.4s
    154      0.0170    5.19e-04     3.4s
    155      0.0221    5.14e-04     3.4s
    156      0.0201    5.08e-04     3.4s
    157      0.0168    5.03e-04     3.4s
    158      0.0163    4.97e-04     3.4s
    159      0.0162    4.92e-04     3.4s
    160      0.0163    4.86e-04     3.4s
    161      0.0162    4.81e-04     3.4s
    162      0.0157    4.75e-04     3.4s
    163      0.0165    4.70e-04     3.4s
    164      0.0163    4.64e-04     3.4s
    165      0.0166    4.59e-04     3.4s
    166      0.0166    4.53e-04     3.5s
    167      0.0164    4.48e-04     3.4s
    168      0.0160    4.42e-04     3.5s
    169      0.0157    4.37e-04     3.5s
    170      0.0168    4.31e-04     3.4s
    171      0.0162    4.26e-04     3.4s
    172      0.0159    4.20e-04     3.4s
    173      0.0159    4.15e-04     3.4s
    174      0.0159    4.10e-04     3.5s
    175      0.0162    4.04e-04     3.5s
    176      0.0156    3.99e-04     3.5s
    177      0.0160    3.93e-04     3.5s
    178      0.0161    3.88e-04     3.4s
    179      0.0158    3.83e-04     3.4s
    180      0.0156    3.77e-04     3.4s
    181      0.0161    3.72e-04     3.4s
    182      0.0156    3.67e-04     3.4s
    183      0.0157    3.61e-04     3.4s
    184      0.0156    3.56e-04     3.4s
    185      0.0157    3.51e-04     3.4s
    186      0.0156    3.45e-04     3.4s
    187      0.0159    3.40e-04     3.4s
    188      0.0161    3.35e-04     3.4s
    189      0.0158    3.30e-04     3.4s
    190      0.0160    3.25e-04     3.4s
    191      0.0160    3.20e-04     3.4s
    192      0.0158    3.14e-04     3.4s
    193      0.0154    3.09e-04     3.4s
    194      0.0157    3.04e-04     3.4s
    195      0.0154    2.99e-04     3.4s
    196      0.0156    2.94e-04     3.4s
    197      0.0159    2.89e-04     3.4s
    198      0.0161    2.84e-04     3.4s
    199      0.0159    2.79e-04     3.4s
    200      0.0159    2.74e-04     3.4s
    201      0.0163    2.69e-04     3.5s
    202      0.0155    2.64e-04     3.4s
    203      0.0160    2.60e-04     3.5s
    204      0.0156    2.55e-04     3.5s
    205      0.0160    2.50e-04     3.4s
    206      0.0159    2.45e-04     3.4s
